Filename,Image #,Gender,Race,Confident,Egotistic,Intelligent,Kind,Responsible,Trustworthy,Aggressive,Caring,Emotional,Friendly,Sociable,Qualified
Google_1_Danielle Goble_5_oval.jpg,1,1,1,5.67,3.67,5.6,5,5.8,5.33,4.8,4.67,3.67,4.33,4.67,0
Google_1_Phillip Owensby_9_oval.jpg,2,0,1,6.53,2.2,6.6,7,7.47,6.73,3.13,6.93,5.8,6.73,6.6,1
Google_1_Douglas Ziegler_3_oval.jpg,3,1,1,6.07,3.6,6.47,6.47,6.67,6.4,2.4,6.07,5.14,6.67,6.67,0
Google_1_Donald Sauls_11_oval.jpg,4,1,2,4.8,4.6,4.47,3.8,4.27,3.87,5.8,3.53,2.8,2.93,3.27,0
Google_1_Eric Harman_5_oval.jpg,5,1,6,6.67,5.4,6.33,4.87,5.87,4.67,4.27,4.07,4.8,5.2,5.33,1
Google_1_Peter Grigsby_13_oval.jpg,6,0,1,6.5,2.36,6,6.64,6.36,6.86,2.14,6.21,5.64,6.43,6.5,0
Google_1_Nathan Beauregard_3_oval.jpg,7,1,1,6.2,2.27,5.13,6.6,5.87,6.33,2.87,5.93,5.2,7.07,6.07,0
Google_1_Bryan Nava_1_oval.jpg,8,1,5,4.93,5.6,5,3.07,4.2,2.93,6.13,3.87,4.07,3.87,4.33,0
Google_1_Travis Streeter_13_oval.jpg,9,1,2,6.47,3.8,5.27,5.6,5.8,5.33,3.07,5.93,5.07,6.33,6.87,1
Brian_Furlong_5_oval.jpg,10,1,1,5.27,3.67,5.6,5.53,6.27,5.6,3.13,5.4,3.93,5.6,5,0
Google_1_Paul Wills_11_oval.jpg,11,1,1,5.93,3.73,6.13,5.67,6.33,5.93,3.13,5.33,4.47,5.4,4.73,0
Google_1_Jesse Lindgren_7_oval.jpg,12,1,1,6.47,4.53,5.8,6,6.13,5.07,3.53,5.8,4.67,6.6,6.53,0
Google_1_David Ferris_3_oval.jpg,13,1,1,5.33,5,5.53,3.67,5.87,5,5.53,3.8,4,3.53,4.33,1
Google_1_Bonnie Fullmer_5_oval.jpg,14,1,1,3.67,5.13,3.67,4.13,4.27,4,4.87,3.67,4.13,3.73,3.47,0
Google_1_Keith Priester_5_oval.jpg,15,1,1,5.93,3.07,5.87,4.93,6.33,5.2,2.67,6,4.67,5.87,5.57,0
Google_1_Glenn Gilmer_1_oval.jpg,16,1,1,5.67,3.53,4.6,5,5.07,5.2,3.13,5.2,5.07,5.27,5.21,0
Google_1_Janet Lashley_9_oval.jpg,17,1,1,5.13,5.4,5.93,4.2,5.73,4.33,4.33,5.67,4.53,5.67,5.6,0
Google_1_Jeff Batts_7_oval.jpg,18,1,1,7.13,4.2,7.27,5.93,6.87,6.67,3.47,5.87,5.4,6.8,6.07,0
Google_1_Shelia Donald_5_oval.jpg,19,0,2,6.87,3.4,6.53,6.2,6.4,6.47,3.8,6.67,5.87,6.73,6.4,0
Google_1_Jimmy Perrotta_5_oval.jpg,20,1,1,4.87,3.2,5.07,6.13,5.87,5.53,2.87,5.13,4.4,4.87,4.8,0
Google_1_Steven Sanchez_11_oval.jpg,21,1,5,4.13,3.93,4.6,4,5.27,4.53,5.2,3.67,4.47,3,3.47,0
Google_1_Jacob Work_1_oval.jpg,22,1,1,5.36,3.79,6.93,6,6.36,6.21,3.07,6.21,6.14,5.93,6,0
Google_1_Susan Burdette_17_oval.jpg,23,0,2,7.13,3.2,6.27,6.73,6.53,6.73,2.07,6.93,5.8,7.27,6.47,0
Google_1_Debbie Dufrene_5_oval.jpg,24,0,1,6.2,3.87,5.73,6.2,5.73,5.93,2.93,6.2,5.2,6.2,6.73,0
Google_1_Carlos Coker_9_oval.jpg,25,1,1,4.21,5,4.71,2.93,4.29,3.71,5.64,3.5,3.14,3.36,3,0
Google_1_Roy Wingfield_9_oval.jpg,26,1,2,6.53,3.6,5.93,6.47,6.27,6.67,3.47,6.27,5.07,6.87,6.67,0
Google_1_Julie Saldana_9_oval.jpg,27,0,1,7.31,3.64,7,6.64,7,6.71,2.43,6.93,4.86,7.5,7.07,0
Google_1_Virginia Stokes_5_oval.jpg,28,0,2,6.53,2.67,6.6,6.67,6.4,6.47,3.2,6.2,5.4,7.33,6.67,0
Google_1_Carlos Hatten_1_oval.jpg,29,1,1,5.5,4.86,5.79,4.64,5,5.64,4.29,5.64,5.64,5.93,5.5,0
Google_1_Nancy Goebel_1_oval.jpg,30,0,1,5.2,3,5.2,6.07,5.87,5.93,2.67,6.93,5.5,7.13,6.33,0
Google_1_Joanne Sandifer_3_oval.jpg,31,1,1,6.47,3.73,6.07,6.4,6.07,6.73,3.29,6.6,5.6,6.93,7.2,0
Google_1_Marguerite Kaminsky_19_oval.jpg,32,0,1,5.07,3.6,5.73,5.8,5.47,5.73,3.07,6.33,4.6,6.6,6.53,0
Google_1_Joe Sthilaire_7_oval.jpg,33,1,1,7.53,4.2,7.07,7,7.4,7.27,2.47,6.33,4.33,6.67,6.13,0
Google_1_Rodney Mckissick_1_oval.jpg,34,1,6,5,3.4,6.6,5.2,6.53,5.6,3.73,5,4.73,5,4.47,0
Google_1_Antonio Amey_7_oval.jpg,35,1,2,6.21,4.5,5.36,5.5,5.5,5.29,4.57,6.07,4.64,5.79,6,0
Google_1_Rhonda Corey_11_oval.jpg,36,1,1,4.8,4.6,4,3.53,3.07,2.73,5.87,3.07,3.87,3.27,3.2,1
Google_1_Paul Reno_1_oval.jpg,37,1,1,6.07,4.2,5.67,6.13,5.4,5.2,3.87,5.87,4.8,5.27,5.67,0
Google_1_Arthur Mcelhaney_13_oval.jpg,38,0,2,5.27,4.13,5.2,4.93,4.8,4.6,4.33,5.93,5,5.4,5,0
Google_1_Roy Mull_11_oval.jpg,39,0,1,7.2,2.2,6.53,7.8,6.4,6.6,3,6.2,5.6,6.8,5.73,0
Google_1_Becky Richmond_3_oval.jpg,40,1,1,5.86,3.29,5.64,6.86,5.71,6,1.79,6.29,4.79,6.71,6.43,0
